OrderID,Product,Category,Region,Sales,Quantity,Discount,OrderDate,Price,user_id,product_id,purchase_amount,customer_id,customer_name,sales,stock_price,temperature_C,text_column
1,Monitor,Office Supplies,East,1801.95,1,0.1,01-01-2024,1801.95,44,1082,220.53,40,Customer_40,1801.95,137.51,-3.1,TypeB
2,Printer,Office Supplies,North,1003.2,3,0.1,02-01-2024,334.4,2,1021,437.64,14,Customer_14,1003.2,294.45,37.6,TypeA
3,Tablet,Electronics,East,1170.22,,0.22,03-01-2024,585.11,13,1036,422.55,33,Customer_33,1170.22,468.3,6.4,TypeB
4,Printer,Office Supplies,North,1421.48,5,0.27,04-01-2024,284.296,40,1095,101.19,14,Customer_14,1421.48,116.02,23.1,TypeC
5,Printer,Office Supplies,South,364.73,6,0.27,05-01-2024,60.78833333,2,1055,403.3,34,Customer_34,364.73,216.58,27.6,TypeC
6,Smartphone,Accessories,East,1248.39,7,0.23,06-01-2024,178.3414286,84,1058,234.51,4,Customer_4,1248.39,183.02,30.6,TypeA
7,Tablet,Electronics,South,1125.7,4,0.19,07-01-2024,281.425,65,1002,246.65,24,Customer_24,1125.7,195.26,37.3,TypeD
8,Tablet,Accessories,North,485.82,7,0.03,08-01-2024,69.40285714,63,1027,75.41,29,Customer_29,485.82,463.37,5.6,TypeA
9,Tablet,Accessories,West,1891.42,8,0.05,09-01-2024,236.4275,73,1073,49.49,19,Customer_19,1891.42,287.23,32.9,TypeD
10,Printer,Accessories,East,1237.84,1,0.27,10-01-2024,1237.84,17,1034,366.69,6,Customer_6,1237.84,286.52,-3.4,TypeB
11,Monitor,Accessories,North,1420.09,6,0.18,11-01-2024,236.6816667,9,1060,253.27,33,Customer_33,1420.09,404.23,25.3,TypeD
12,Tablet,Accessories,West,1772.89,8,0,12-01-2024,221.61125,75,1092,224.06,49,Customer_49,1772.89,161.8,27.1,TypeD
13,Printer,Accessories,West,1286.27,5,0.03,13-01-2024,257.254,15,1053,367.46,40,Customer_40,1286.27,294.91,23.9,TypeB
14,Smartphone,Accessories,South,661.7,4,0.2,14-01-2024,165.425,24,1062,385.1,19,Customer_19,661.7,271.99,2.6,TypeC
15,Monitor,Electronics,North,300.44,2,0,15-01-2024,150.22,38,1078,87.87,1,Customer_1,300.44,338.76,33.7,TypeB
16,Smartphone,Office Supplies,West,967.42,6,0.05,16-01-2024,161.2366667,35,1096,309.01,5,Customer_5,967.42,499.82,-1.6,TypeA
17,Monitor,Accessories,East,515.04,6,0.16,17-01-2024,85.84,94,1006,76.32,27,Customer_27,515.04,407.78,-7.3,TypeA
18,Printer,Accessories,East,891.37,1,0.21,18-01-2024,891.37,95,1075,378.17,16,Customer_16,891.37,259.15,25.9,TypeA
19,Laptop,Accessories,South,1778.23,9,0.2,19-01-2024,197.5811111,49,1048,331.91,6,Customer_6,1778.23,431.02,13.8,TypeA
20,Monitor,Accessories,West,716.26,6,0.07,20-01-2024,119.3766667,69,1093,478.74,40,Customer_40,716.26,168.28,32.5,TypeA
21,Smartphone,Accessories,North,331.97,3,0.21,21-01-2024,110.6566667,62,1084,43.79,13,Customer_13,331.97,112.19,9.2,TypeC
22,Printer,Accessories,East,776.97,4,0.07,22-01-2024,194.2425,60,1030,37.96,48,Customer_48,776.97,181.78,-1.6,TypeC
23,Monitor,Office Supplies,West,1822.97,4,0.1,23-01-2024,455.7425,50,1057,148.27,35,Customer_35,1822.97,236.16,31.8,TypeD
24,Laptop,Office Supplies,West,617.05,3,0.22,24-01-2024,205.6833333,78,1060,138.24,19,Customer_19,617.05,304.23,17.4,TypeA
25,Laptop,Accessories,South,1330.61,3,0.19,25-01-2024,443.5366667,75,1023,131.02,12,Customer_12,1330.61,346.05,-0.5,TypeB
26,Tablet,Office Supplies,East,100.99,3,0.25,26-01-2024,33.66333333,9,1019,454.06,16,Customer_16,100.99,464.24,26,TypeA
27,Tablet,Electronics,East,769.88,,0.2,27-01-2024,192.47,34,1036,132.28,43,Customer_43,769.88,303.94,15.6,TypeC
28,Smartphone,Accessories,North,679.08,7,0.17,28-01-2024,97.01142857,76,1003,143.26,10,Customer_10,679.08,300.51,20.2,TypeA
29,Monitor,Electronics,East,412.85,4,0.03,29-01-2024,103.2125,99,1091,382.11,25,Customer_25,412.85,120.1,13,TypeC
30,Monitor,Electronics,North,1114.77,9,0.11,30-01-2024,123.8633333,35,1019,230.37,20,Customer_20,1114.77,113.96,31.4,TypeD
